topic,category,prompt,quality_score
machine learning,Coding,You are a world-renowned expert in machine learning. Provide an authoritative deep-dive covering theoretical foundations empirical evidence practical applications and future directions.,0.89
stoicism,Philosophy,Provide an overview of stoicism covering the main concepts and how they apply to Philosophy.,0.5
existentialism,Philosophy,Act as a specialist in existentialism. Break down this subject systematically explaining core components their relationships and practical applications in Philosophy context.,0.88
formative assessment,Education,Describe formative assessment briefly,0.36
virtual reality,Creative Writing,You are a senior professional in Creative Writing. Analyze virtual reality providing actionable insights research-backed recommendations and step-by-step implementation guidance.,0.92
formative assessment,Education,Explain formative assessment for someone with basic knowledge of Education using clear language.,0.68
personal finance,General,"As a domain expert, explain personal finance thoroughly including historical background current state of knowledge common misconceptions and practical significance.",0.95
moral relativism,Philosophy,Act as a specialist in moral relativism. Break down this subject systematically explaining core components their relationships and practical applications in Philosophy context.,0.9
communication skills,General,You are a world-renowned expert in communication skills. Provide an authoritative deep-dive covering theoretical foundations empirical evidence practical applications and future directions.,0.97
black holes,Science,Provide an overview of black holes covering the main concepts and how they apply to Science.,0.6
free will,Philosophy,Explain free will in detail with examples and practical applications.,0.68
strategic planning,Business,What are the most important aspects of strategic planning in the context of Business?,0.53
system design,Coding,Explain system design,0.24
found family,Creative Writing,You are an expert in found family. Provide a comprehensive analysis covering key concepts mechanisms real-world applications and future implications with specific examples.,0.92
business model canvas,Business,Give a structured explanation of business model canvas with clear sections and examples.,0.7
sustainable living,General,You are a world-renowned expert in sustainable living. Provide an authoritative deep-dive covering theoretical foundations empirical evidence practical applications and future directions.,0.91
competitive analysis,Business,What is competitive analysis?,0.3
unreliable narrator,Creative Writing,Give a structured explanation of unreliable narrator with clear sections and examples.,0.8
brand storytelling,Marketing,Explain brand storytelling for someone with basic knowledge of Marketing using clear language.,0.73
supply chain,Business,Act as a specialist in supply chain. Break down this subject systematically explaining core components their relationships and practical applications in Business context.,0.95
revenue model,Business,help with revenue model,0.34
time travel,Creative Writing,Give me info on time travel,0.38
recursion,Coding,recursion explanation,0.29
artificial intelligence,Creative Writing,Act as a thought leader on artificial intelligence. Explore multiple perspectives identify key challenges propose innovative solutions and outline measurable outcomes.,0.85
evolution,Science,Act as a thought leader on evolution. Explore multiple perspectives identify key challenges propose innovative solutions and outline measurable outcomes.,0.95
emotional intelligence,General,Act as a seasoned practitioner with 20 years experience in emotional intelligence. Share expert insights common pitfalls best practices and real-world case studies.,0.93
email marketing,Marketing,What are the most important aspects of email marketing in the context of Marketing?,0.56
