topic,category,prompt,quality_score,source
What is one interesting fact about,General,What is one interesting fact about nature that you find fascinating?,0.33,ai_generated_prompts
Imagine you are stranded on a,Creative Writing,"Imagine you are stranded on a deserted island, and you can bring only three items with you. What would they be and why?",0.6600000000000001,ai_generated_prompts
What is something new you've learned,Education,"What is something new you've learned recently, and why did it capture your interest?",0.41,ai_generated_prompts
What are some of your favorite,General,What are some of your favorite memories from childhood?,0.33,ai_generated_prompts
Imagine you're a time traveler visiting,Creative Writing,Imagine you're a time traveler visiting the past; what important advice would you give to your younger self?,0.41,ai_generated_prompts
What is one thing you believe,Education,"What is one thing you believe everyone should learn at some point in their lives, and why?",0.4599999999999999,ai_generated_prompts
Think of a memory that made,General,"Think of a memory that made you feel really happy, and describe it in detail.",0.35,ai_generated_prompts
communication skills,General,help with communication skills,0.29,
What do you consider the most,General,What do you consider the most influential invention of the 21st century and why?,0.38,ai_generated_prompts
personalized learning,Education,personalized learning explanation,0.27,
REST API,Coding,Explain REST API in detail with examples and practical applications.,0.68,
If you could travel to any,Creative Writing,"If you could travel to any time period, real or fictional, where would you go and why?",0.49,ai_generated_prompts
content marketing,Marketing,Provide an overview of content marketing covering the main concepts and how they apply to Marketing.,0.8,
Imagine you are in charge of,Creative Writing,"Imagine you are in charge of planning your perfect day. What would you do, and where would you go?",0.64,ai_generated_prompts
If you could travel back in,General,"If you could travel back in time and witness any historical event, what event would you choose and why?",0.49,ai_generated_prompts
future of work,General,"As a leading researcher in General, analyze future of work with academic rigor covering methodology findings implications and areas requiring further investigation.",0.96,
concurrency,Coding,Act as a specialist in concurrency. Break down this subject systematically explaining core components their relationships and practical applications in Coding context.,0.92,
What is one interesting fact you've,Education,What is one interesting fact you've recently learned and how did you find out about it?,0.41,ai_generated_prompts
What is a recent innovation in,General,"What is a recent innovation in technology that interests you, and why?",0.38,ai_generated_prompts
viral content,Marketing,Act as a seasoned practitioner with 20 years experience in viral content. Share expert insights common pitfalls best practices and real-world case studies.,0.97,
What would you like to learn,Education,"What would you like to learn more about today, be it a new skill, hobby, or a subject you've always been curious about?",0.41,ai_generated_prompts
market analysis,Business,"As a domain expert, explain market analysis thoroughly including historical background current state of knowledge common misconceptions and practical significance.",0.88,
virtual reality,Creative Writing,"As a leading researcher in Creative Writing, analyze virtual reality with academic rigor covering methodology findings implications and areas requiring further investigation.",0.82,
What is one interesting fact about,General,What is one interesting fact about a hobby you enjoy?,0.33,ai_generated_prompts
